,0
0,0.5187573854726841
1,0.0
2,0.13417260024781488
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.05190504705982514
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.05190504705982514
18,0.2439765447719846
19,0.10381009411965028
20,0.0
21,0.0
22,0.14571588934303167
23,0.13417260024781488
24,0.0
25,0.1557151411794754
26,0.0
27,0.0
28,0.0
29,0.0
30,0.28337205508526625
31,0.0
32,0.21644015343580464
33,0.0
34,0.0
35,0.30008174800027465
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.5024138700794711
49,0.05190504705982514
50,0.0
51,0.0
52,0.0
53,0.0
54,0.19207149771215948
55,0.0
56,0.0
57,0.0
58,0.0
59,0.20762018823930056
60,0.0
61,0.0
62,0.3540017100005897
63,0.0
64,0.0
65,0.14571588934303167
66,0.0
67,0.2640649981902106
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.14571588934303167
76,0.4506912424862045
77,0.0
78,0.36449633180664326
79,0.0
80,0.0
81,0.0
82,0.17242483409448384
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.17242483409448384
89,0.0
90,0.0
91,0.0
92,0.0
93,0.43124472834836786
94,0.0
95,0.31025099571901116
96,0.0
97,0.0
98,0.44382691429196575
99,0.0
100,0.6132572453262636
101,0.0
102,0.0
103,0.10381009411965028
104,0.0
105,0.0
106,0.0
107,0.36896829645498885
108,0.0
109,0.28988774142729035
110,0.0
111,0.0
112,0.0
113,0.0
114,0.4128629338137183
115,0.0
116,0.0
117,0.5395806885131895
118,0.0
119,0.10381009411965028
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.05190504705982514
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.08226755318798976
135,0.0
136,0.12051978703465867
137,0.0
138,0.0
139,0.18607764730764004
140,0.05190504705982514
141,0.0
142,0.1976209364028568
143,0.0
144,0.0
145,0.0
146,0.0
147,0.2816505274518829
148,0.0
149,0.05190504705982514
150,0.0
151,0.0
152,0.3281399752739592
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.5206422497483391
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.14571588934303167
172,0.0
173,0.0
174,0.0
175,0.0
176,0.1557151411794754
177,0.0
178,0.0
179,0.38004502233378434
180,0.0
181,0.0
182,0.22798344253102143
183,0.0
184,0.3559638262874831
185,0.0
186,0.0
187,0.05190504705982514
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.49183838966066923
194,0.0
195,0.3559638262874831
196,0.0
197,0.0
198,0.0
199,0.3553154832418326
200,0.0
201,0.0
202,0.0
203,0.12051978703465867
204,0.0
205,0.13417260024781488
206,0.0
207,0.0
208,0.0
209,0.0
210,0.3678750923098609
211,0.0
212,0.4072205303016578
213,0.0
214,0.0
215,0.4227488693803816
216,0.0
217,0.6276922700995852
218,0.0
219,0.0
220,0.10381009411965028
221,0.0
222,0.0
223,0.12051978703465867
224,0.356606604088139
225,0.1557151411794754
226,0.3027564306800051
227,0.0
228,0.0
229,0.0
230,0.0
231,0.3742070162185854
232,0.0
233,0.0
234,0.5295417171860832
235,0.0
236,0.22798344253102143
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.08226755318798976
243,0.0
244,0.08226755318798976
245,0.2640649981902106
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.05190504705982514
252,0.0
253,0.12051978703465867
254,0.0
255,0.0
256,0.13417260024781488
